sample,super_pop,PC1,PC2,afr_score
HG00537,EAS,-12.808253625542003,-18.66503272796247,0.20869345758834476
HG00542,EAS,-13.912674298793538,-16.04496725133706,0.1705396174776505
HG00543,EAS,-13.59078271168655,-17.463017790626676,0.18683313648546598
HG00551,AMR,-8.715312125228765,8.610150123064543,0.04965381541114258
HG00553,AMR,-7.946368057839538,6.889600827986034,0.09183333234766054
HG00554,AMR,-5.09921679732223,15.48673872134631,0.06295407771180717
HG00556,EAS,-15.829411172005258,-19.239539222211796,0.15168046521437445
HG00557,EAS,-14.605499339914976,-18.600317601050254,0.1820928304423418
HG00559,EAS,-16.029237378959323,-17.311565738055187,0.13064683844629263
HG00560,EAS,-12.66640144158687,-18.058399888791307,0.2206612413618541
HG00565,EAS,-16.27689219751021,-17.028156457625997,0.11688085318815812
HG00566,EAS,-15.737006424741208,-18.355397433697547,0.150490818529407
HG00580,EAS,-15.606250808524225,-17.814990239394888,0.1442230844668209
HG00581,EAS,-13.941268657543446,-17.139966846143793,0.1835480092830973
HG00583,EAS,-18.628501371731524,-20.333724351975306,0.10533782308318052
HG00584,EAS,-16.82844116059983,-19.021918801651484,0.13014285274943987
HG00589,EAS,-14.790415813725815,-20.244152663083458,0.18283332505775646
HG00590,EAS,-15.033264235861253,-19.799499880776054,0.17977099197686114
HG00592,EAS,-14.6597058638079,-16.32913828562278,0.15697499611182347
HG00593,EAS,-15.09235187105131,-15.583336556197033,0.13468208684121025
HG00595,EAS,-14.622524344723661,-18.135674978477244,0.17395029177874288
HG00596,EAS,-15.25701533623738,-18.550076752091236,0.16781185775158372
HG00598,EAS,-17.17106567427575,-19.514305021773612,0.11738481150547231
HG00599,EAS,-13.129899907713874,-21.216130471515473,0.23093610265655207
HG00607,EAS,-13.743116973332679,-17.673373018663064,0.18802684135828757
HG00608,EAS,-15.182000152963141,-18.357959174865602,0.16635844581856762
HG00610,EAS,-13.743862751241759,-15.782543603447794,0.16854005347539353
HG00611,EAS,-15.022367401024205,-18.76391826846076,0.17234129537487164
HG00613,EAS,-16.156850826131446,-16.4109913357599,0.1257482396485385
HG00614,EAS,-15.516547169568844,-20.77882631595737,0.17208785433983825
HG00619,EAS,-14.933397773073214,-17.693852426371603,0.14710660665968478
HG00620,EAS,-14.489609698093817,-20.542670094851204,0.186521256931846
HG00622,EAS,-13.895328544876968,-18.635407565882932,0.18865502159833258
HG00623,EAS,-17.942962005512953,-20.997288525770724,0.12816505605626358
HG00625,EAS,-13.547687218264809,-18.65186761623261,0.20099366642161523
HG00626,EAS,-15.48279623194683,-16.580324206823065,0.14252369144691593
HG00628,EAS,-15.52799973770804,-17.645301828811082,0.14276835022338424
HG00629,EAS,-13.621192037587765,-14.109674241699896,0.16422319664532242
HG00631,EAS,-14.221724764353413,-15.812527283421947,0.1614444493819703
HG00632,EAS,-13.293973183363425,-15.61177865337183,0.17366384571880847
HG00634,EAS,-15.01334968623418,-17.278807266992974,0.15082595373849483
HG00637,AMR,-3.8550068257496344,9.31828473772925,0.1613583320724925
HG00638,AMR,-6.192271465076549,10.736536910440329,0.09513410191733615
HG00640,AMR,-10.51469323715442,2.481030732342964,0.0866435111313256
HG00641,AMR,-6.937514248349729,2.1228960020422596,0.17413642186898
HG00650,EAS,-16.19851950247776,-16.988816453915984,0.11151232257139543
HG00651,EAS,-16.35042411387566,-19.81491735125883,0.1557144973961499
HG00653,EAS,-15.849376851819715,-16.57321364640362,0.12282443686681754
HG00654,EAS,-13.643023740504466,-19.128516202385892,0.20457568376105306
HG00656,EAS,-15.068023388918087,-15.14122793413602,0.13783958814631656
HG00657,EAS,-15.666730202593172,-11.977786495148445,0.0853017691238856
HG00662,EAS,-14.2831969893864,-16.771733008101393,0.17216831002723754
HG00663,EAS,-13.623666814814486,-15.915907133361083,0.18382009100181684
HG00671,EAS,-13.93294753710681,-17.86039987558837,0.19953376267852696
